약국명,대표전화,도로명주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일,구분
대성약국,02-2066-0120,서울특별시 구로구 개봉로3길 35 (개봉동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~14:00,-,-,주간
신사행복나눔약국,02-546-2728,"서울특별시 서초구 강남대로 605, 휴먼TOWER 104호 (잠원동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,주간
대성약국,02-2691-6675,"서울특별시 강서구 강서로 307, 서울스타병원빌딩 1층 (내발산동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-,주간
신사웰약국,02-541-8889,"서울특별시 강남구 강남대로 596, 극동빌딩 1층 (논현동)",10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~15:00,-,-,주간
대명약국,02-873-4760,"서울특별시 관악구 신림로 158, 1층 1호(신림동,영광빌딩)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~17:00,-,-,주간
강약국,02-396-9677,"서울특별시 서대문구 세검정로1길 7, (홍은동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
대명약국,02-844-5433,"서울특별시 영등포구 영신로19길 7, (영등포동)",09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:00,-,-,주간
대명약국,02-2274-0980,"서울특별시 종로구 종로 256-1, 대명빌딩 1층 (종로5가)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,-,-,주간
강림약국,02-832-8975,서울특별시 동작구 시흥대로 668-2 (신대방동),09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,-,-,주간
대명당약국,02-928-7467,서울특별시 동대문구 천호대로13길 56 (용두동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,주간
대림타워약국,02-841-1085,"서울특별시 영등포구 가마산로48길 16, 3층 (대림동,신풍프라자)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,09:00~15:00,-,-,주간
대림우리약국,02-855-7538,서울특별시 구로구 도림로 92 (구로동),11:00~20:00,11:00~20:00,11:00~20:00,11:00~20:00,11:00~20:00,09:00~21:00,-,-,주간
대림온누리약국,02-6104-1234,서울특별시 동작구 시흥대로 662 (신대방동),08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~18:00,-,-,주간
대림약국,02-2679-3553,서울특별시 구로구 신도림로 16,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
대림백화점약국,02-835-6161,서울특별시 영등포구 신길로 40 (신길동),08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:30,-,-,주간
대도약국,02-2266-9862,"서울특별시 중구 퇴계로 183, (필동1가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-,주간
대남약국,02-822-3502,서울특별시 동작구 상도로22길 26 (상도동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,주간
대교약국,02-780-4259,"서울특별시 영등포구 여의대방로 383, 207호(여의도동,경도상가)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
대교약국,02-414-8275,"서울특별시 송파구 가락로 153, 1층 (송파동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~18:00,-,-,주간
대교약국,02-714-5849,"서울특별시 마포구 도화길 10, 1층 (도화동)",07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,-,주간
대광약국,02-825-2600,서울특별시 동작구 상도로45길 6 (상도1동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,주간
대경약국,02-744-2434,서울특별시 종로구 종로51나길 2,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,08:00~21:00,09:00~21:00,09:00~21:00,-,주간
신사약국,02-514-3704,"서울특별시 강남구 도산대로 109, 1층 101호(신사동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~19:00,-,-,주간
당산열린약국,02-2634-7078,"서울특별시 영등포구 양평로 32 (당산동6가, 누가빌딩)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,주간
당산스타약국,02-3667-8274,"서울특별시 영등포구 양평로 22, 1층 (당산동6가)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~16:00,-,-,주간
당산삼성약국,02-2633-1811,"서울특별시 영등포구 당산로44길 3, 406호 (당산동5가, 삼성타운)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,-,-,주간
신사새서울약국,02-355-1066,서울특별시 은평구 은평로 29,08:30~18:20,08:30~18:20,08:30~18:20,08:30~18:20,08:30~18:20,08:30~15:00,-,-,주간
달약국,02-478-4005,"서울특별시 강동구 천호대로 1171, (길동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,주간
달구약국,02-459-3300,서울특별시 강남구 양재대로55길 6 (일원동),09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:00,-,-,주간
단풍약국,02-6052-4019,서울특별시 중랑구 동일로 680 (면목동),08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,-,-,-,주간
단골온누리약국,02-745-0731,서울특별시 종로구 지봉로 50 (숭인동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,주간
다정옵티마약국,02-435-6468,서울특별시 중랑구 동일로143길 29 (중화동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:30,-,-,주간
다정온누리약국,070-7769-8275,"서울특별시 강남구 논현로 511, 3층 (역삼동, YandC빌딩)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,주간
다정약국,02-471-0313,"서울특별시 강동구 양재대로 1377, 2층 204호 (성내동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,-,-,-,주간
다정약국,02-915-3588,서울특별시 성북구 서경로 27 1층,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,주간
다정약국,02-980-9822,서울특별시 강북구 월계로 19,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,주간
감람약국,02-443-7173,서울특별시 송파구 문정로13길 11-10 (가락동),12:30~19:00,12:30~19:00,12:30~19:00,12:30~19:00,12:30~19:00,12:30~19:00,-,-,주간
다인약국,02-2636-8914,서울특별시 영등포구 선유로 70 206-2호 (문래동3가),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,-,09:00~13:00,주간
다인약국,02-423-7272,"서울특별시 송파구 올림픽로 76, J타워 1층 104-1호 (잠실동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,주간
다은약국,02-815-0506,서울특별시 동작구 장승배기로20길 2 (노량진동),09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:00,-,-,주간
다올약국,02-2601-0033,서울특별시 양천구 남부순환로40길 7 (신월동),08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~15:30,-,-,주간
다솜약국,02-826-1060,서울특별시 동작구 상도로 82 (대방동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:30,-,-,주간
다솜약국,02-2614-0994,"서울특별시 서대문구 세무서2길 2, 1층 (홍제동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~15:00,-,-,주간
다솜약국,02-439-1177,서울특별시 중랑구 면목로 475 (상봉동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-,주간
다사랑약국,02-935-8006,"서울특별시 노원구 한글비석로 254, 305호 (중계동, 대명프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,-,-,주간
다보약국,02-802-8788,"서울특별시 금천구 시흥대로26길 9, (시흥동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,주간
다보약국,02-525-3955,"서울특별시 서초구 서초대로40길 77, 101호 (서초동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~19:00,-,-,주간
다민약국,02-2699-6966,"서울특별시 양천구 신정이펜2로 20, 401호 (신정동, 서남프라자1)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-,주간
다마트약국,02-2665-0181,서울특별시 강서구 금낭화로 135,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~16:00,-,-,주간
7형제약국,02-478-9855,"서울특별시 강동구 진황도로 179, 1층 (둔촌동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,주간
3층엠코약국,02-434-7707,"서울특별시 중랑구 망우로 353 C동 309호 (상봉동, 상봉 프레미어스 엠코)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,09:00~12:00,09:00~18:00,주간
2층써밋약국,02-797-8920,"서울특별시 용산구 한강대로 69, 상가동 2층 222-2호 (한강로2가, 용산푸르지오써밋)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
2층소망약국,02-2608-8096,"서울특별시 양천구 월정로 50, 209호 (신월동, 청솔아파트)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-,주간
다드림약국,02-858-1213,서울특별시 구로구 가마산로 211 101,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
다니엘약국,02-794-2981,"서울특별시 용산구 이촌로 103, 1층 (한강로3가,천일빌딩)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,주간
다나온누리약국,02-886-4207,서울특별시 관악구 관악로 240 1층 (봉천동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~20:30,-,-,주간
다나약국,02-832-1205,"서울특별시 영등포구 가마산로 439-1, (신길동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:30,-,-,주간
다나약국,02-597-3514,"서울특별시 서초구 효령로 229, 서울빌딩 1층 (서초동)",11:00~19:00,11:00~19:00,11:00~19:00,11:00~19:00,11:00~19:00,-,-,-,주간
다나약국,02-414-9221,"서울특별시 송파구 오금로31길 3, 우성빌딩 (방이동)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~16:00,-,-,주간
다나약국,02-753-0692,"서울특별시 용산구 후암로 43-2, 1층 (후암동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~15:00,-,-,주간
다나약국,02-715-3133,"서울특별시 마포구 대흥로 186-2, 1층 (대흥동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~16:00,-,-,주간
다나약국,02-383-2583,"서울특별시 은평구 서오릉로 83, (역촌동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~17:00,-,-,주간
다나약국,02-2263-9293,"서울특별시 종로구 종로 128, 302호(종로3가)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,주간
다나약국,02-943-8409,서울특별시 노원구 석계로 95,08:40~20:00,08:40~20:00,08:40~20:00,08:40~20:00,08:40~20:00,-,-,-,주간
다나약국,02-997-7795,"서울특별시 강북구 덕릉로 75, 석우빌딩 1층 (수유동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
늘푸른이화약국,02-2679-4538,"서울특별시 영등포구 영신로32길 20, (영등포동4가)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,08:30~15:00,-,-,주간
늘푸른온누리약국,02-873-3431,"서울특별시 관악구 남부순환로 1925, (봉천동)",10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~17:00,-,-,주간
늘푸른약국,02-851-0601,"서울특별시 구로구 구로중앙로12길 38, (구로동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,-,-,주간
늘푸른약국,02-568-5560,"서울특별시 강남구 언주로 601, 파크랜드빌딩 지하1층 4,5호 (논현동)",08:30~18:40,08:30~18:40,08:30~18:40,08:30~18:40,08:30~18:40,08:30~14:00,-,-,주간
늘푸른약국,02-969-0566,"서울특별시 성북구 돌곶이로 25 (석관동, 씨티홈)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~16:00,-,-,주간
늘푸른약국,02-3493-3823,서울특별시 도봉구 도봉로163길 7 (도봉동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-,주간
늘편한약국,02-20552370,"서울특별시 서초구 서초대로74길 3, 윤빌딩 1층 (서초동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,08:30~17:00,-,-,주간
늘사랑약국,02-825-0755,서울특별시 동작구 상도로 91 (상도동),08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~14:00,-,-,주간
늘봄약국,02-387-8225,서울특별시 은평구 은평로 102,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
늘기쁜약국,02-955-9988,"서울특별시 도봉구 도봉로 726, 1층 (방학동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-,주간
뉴프라자약국,02-962-1197,"서울특별시 동대문구 고산자로 399, 104호,105호 (용두동, 동양프라자)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
뉴지명약국,02-993-2082,"서울특별시 도봉구 덕릉로 236, 1층 (창동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,-,주간
뉴월드약국,02-495-4091,서울특별시 중랑구 겸재로49길 18 (면목동),09:00~21:30,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:30,-,-,주간
뉴시티약국,02-413-8897,"서울특별시 송파구 석촌호수로 160, 102호 (삼전동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,주간
신보영약국,02-793-9627,서울특별시 용산구 한강대로 154 (한강로2가),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,10:00~15:00,-,-,주간
신라약국,02-777-4825,"서울특별시 중구 남대문로9길 16, (다동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~14:00,-,-,주간
신보생약국,02-856-1542,서울특별시 금천구 시흥대로148길 37,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,-,-,주간
신보광사약국,02-355-4347,서울특별시 은평구 통일로 725-2 (대조동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-,주간
신보건약국,02-336-3165,"서울특별시 서대문구 연세로5길 32, (창천동)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~21:00,09:30~17:00,-,-,주간
신백제약국,02-745-8492,"서울특별시 종로구 종로 243, 1층 (종로5가)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:00,10:30~18:00,10:30~18:00,주간
신백구약국,02-467-7287,"서울특별시 광진구 군자로 86-1, (군자동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~18:00,-,-,주간
신방이약국,02-415-0498,서울특별시 송파구 가락로 245 (방이동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,-,주간
힘챤약국,02-942-2088,서울특별시 성북구 보국문로 16-1,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
나무약국,02-2665-7565,"서울특별시 강서구 강서로45길 174, 수명산씨티 3층 (내발산동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-,주간
신미소약국,02-855-9842,서울특별시 관악구 시흥대로 578 (신림동),09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,10:00~23:00,10:00~23:00,주간
나무약국,02-701-7595,"서울특별시 마포구 백범로 202 (신공덕동, 마포케이씨씨웰츠타워)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~19:00,-,-,주간
신목약국,02-2654-1002,"서울특별시 양천구 목동중앙로 85, 지하1층 104호 (목동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,주간
나루역사거리현대약국,02-487-1218,서울특별시 송파구 올림픽로37길 130 (신천동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,-,-,-,주간
나래약국,02-845-9369,"서울특별시 영등포구 도림로 192 (대림동, 동성빌딩)",08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~21:00,08:30~18:00,-,-,주간
나라약국,02-2694-9228,서울특별시 강서구 강서로 27 (화곡동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-,주간
나눔약국,02-6012-3968,서울특별시 양천구 목동중앙로 95 (목동),09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~16:00,-,-,주간
나눔약국,02-832-3225,"서울특별시 영등포구 여의대방로53길 23, (신길동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,09:00~16:00,-,-,주간
신명약국,02-701-7188,"서울특별시 마포구 신촌로 170, 이대역푸르지오시티 상가106호 (대흥동)",09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~15:30,-,-,주간
나눔약국,02-485-9654,서울특별시 강동구 구천면로 403,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,주간
신명약국,02-387-1835,서울특별시 은평구 은평로 226 (응암동),09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~15:00,-,-,주간
나눔약국,02-3391-2525,"서울특별시 노원구 동일로216길 70, 1층 (상계동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~14:00,-,-,주간
신림프라자약국,02-866-7288,"서울특별시 관악구 신림로 271, 1층 (신림동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:30,-,-,주간
나나약국,02-846-3910,서울특별시 관악구 보라매로3길 29,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,주간
나나약국,02-2245-2594,서울특별시 동대문구 장한로18길 59 (장안동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,주간
신림수약국,02-876-5875,"서울특별시 관악구 신림로 352, 1층 (신림동, 연빌딩)",09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~22:30,09:30~18:30,-,-,주간
꿈이있는약국,02-739-5136,서울특별시 서대문구 통일로 185-1,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
신림당약국,02-856-4755,서울특별시 관악구 관천로 17,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~18:00,09:00~19:00,-,주간
꿀약국,02-823-4521,"서울특별시 동작구 양녕로 186, 1층 (상도동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,-,-,주간
신라약국,02-467-1192,"서울특별시 성동구 광나루로11길 26-1, (송정동)",09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,09:00~22:30,11:00~22:00,주간
까치프라자약국,02-2604-3005,"서울특별시 강서구 강서로 52, 104,105호(화곡동,화곡판타지아빌딩)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~17:00,09:00~21:00,-,주간
신두산약국,02-747-4541,"서울특별시 종로구 지봉로 39-1, (창신동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~18:00,-,-,주간
신동화약국,02-2277-0234,서울특별시 종로구 종로 267-1,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~17:00,-,-,주간
김포약국,02-2663-7575,서울특별시 강서구 방화동로 70 (방화동),09:00~21:00,09:00~21:00,09:00~19:00,09:00~21:00,09:00~21:00,09:00~19:00,-,-,주간
김약국,02-875-5523,서울특별시 관악구 남부순환로 1601-1,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,-,-,주간
김약국,02-2603-4285,서울특별시 양천구 지양로 75,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,10:00~20:00,-,주간
보라매대학약국,02-831-1922,"서울특별시 동작구 보라매로5길 23, 101호 (신대방동, 삼성보라매옴니타워)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,주간
보광프라자약국,02-796-5244,"서울특별시 용산구 보광로 35, (보광동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~21:30,-,09:00~19:00,주간
베스트약국,02-474-2447,서울특별시 강동구 양재대로 1327,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~16:00,-,-,주간
백세약국,02-916-5342,서울특별시 성북구 아리랑로 117-5,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~18:00,-,-,주간
방이수약국,02-418-6987,서울특별시 송파구 백제고분로 469 (방이동),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,-,-,주간
바른약국,02-353-0830,"서울특별시 은평구 통일로 842, 범서빌딩 2층 (불광동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-,주간
믿음메디칼약국,02-303-0544,"서울특별시 은평구 응암로 213, (응암동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:00,-,-,주간
미소진약국,02-412-7380,서울특별시 송파구 올림픽로 119 (잠실동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
미소진약국,02-428-3365,"서울특별시 강동구 양재대로 1661, (명일동)",09:00~20:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~20:30,09:00~16:30,-,-,주간
효제약국,02-391-7615,서울특별시 서대문구 세검정로 32,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,주간
미성온누리약국,02-846-5530,서울특별시 영등포구 도신로29길 28,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-,주간
화생약국,02-2293-4858,"서울특별시 성동구 행당로 1, 103호(금호동1가,로타리빌딩)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:30,-,-,주간
화랑온누리약국,02-975-4151,서울특별시 노원구 공릉로 150 (공릉동) 1층,08:45~22:30,08:45~22:30,08:45~22:30,08:45~22:30,08:45~22:00,08:45~22:00,17:00~22:30,-,주간
미문약국,02-838-7020,"서울특별시 구로구 구로동로 77, 동해빌딩 지하1층 (구로동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
삼우약국,02-434-3284,"서울특별시 중랑구 면목로 257, 전내과,소아과 (면목동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,-,-,-,주간
삼성제일약국,02-459-5511,서울특별시 강남구 양재대로55길 7 (일원동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-,주간
삼성약국,02-855-4158,서울특별시 관악구 신원로 21,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~20:00,-,주간
삼성약국,02-451-7281,"서울특별시 강남구 광평로19길 10, 101호 (수서동, 까치마을아파트상가)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,-,-,주간
삼성약국,02-324-2834,서울특별시 서대문구 연희맛로 28,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~18:00,-,-,주간
힘찬약국,02-2062-7789,서울특별시 영등포구 디지털로37길 9-5 (대림동),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~18:00,08:30~19:00,주간
힘찬약국,02-454-1221,"서울특별시 광진구 뚝섬로 631-1, 1층 (자양동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~15:00,-,-,주간
힘찬약국,02-996-9114,"서울특별시 도봉구 삼양로 580-4, 1층 101호 (쌍문동, 노스브릭)",08:30~21:00,08:30~21:00,08:30~20:00,08:30~21:00,08:30~21:00,08:30~18:00,-,-,주간
힐링약국,02-407-9933,서울특별시 송파구 오금로36길 4-17 (가락동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:30,-,-,주간
삼미약국,02-547-6152,"서울특별시 서초구 주흥길 8, (반포동)",10:30~21:00,10:30~21:00,10:30~21:00,10:30~21:00,10:30~21:00,11:00~19:00,-,-,주간
힐링약국,02-797-1175,"서울특별시 용산구 신흥로 53, 1층 (용산동2가)",08:50~20:00,08:50~20:00,08:50~20:00,08:50~20:00,08:50~20:00,08:50~14:00,-,-,주간
삼명약국,02-802-9393,"서울특별시 금천구 독산로 88, (시흥동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~16:30,-,-,주간
삼남매약국,02-3775-1333,"서울특별시 영등포구 여의대방로 417, 대교상가 1층 110호 (여의도동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,-,-,주간
희병약국,02-545-0429,서울특별시 강남구 봉은사로43길 8 (논현동),09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~20:00,09:30~15:00,-,-,주간
삼기약국,02-936-5377,"서울특별시 노원구 중계로 120, (중계동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~19:00,-,-,주간
