병원명,업무구분1,업무구분2,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,홈페이지
대구파티마병원,지역응급의료센터,종합병원,053-1688-7770,대구광역시 동구 아양로 99 (신암동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-,http://www.fatima.or.kr
경북대학교병원,권역응급의료센터,상급종합병원,053-200-5114,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,http://knumc.knu.ac.kr
의료법인구의료재단구병원,지역응급의료기관,종합병원,053-562-1931,대구광역시 달서구 감삼북길 141 (감삼동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-,-
의료법인백천의료재단바로본병원,응급의료기관 외의 의료기관(응급의료시설),병원,1644-8575,대구광역시 동구 국채보상로 769 (신천동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
인천사랑병원,지역응급의료센터,종합병원,032-457-2000,인천광역시 미추홀구 미추홀대로 726 (주안동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
인천힘찬종합병원,지역응급의료기관,종합병원,0321899-2220,"인천광역시 남동구 논현로 72-0 (논현동,인천힘찬종합병원)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-,-,-
검단탑병원,지역응급의료센터,종합병원,032-590-0114,인천광역시 서구 청마로19번길 5 (당하동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~13:00,-,-,http://www.tophospital.co.kr/
온누리병원,지역응급의료기관,종합병원,032-567-6200,인천광역시 서구 완정로 199 (왕길동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.onnurihosp.com
안은의료재단 부평세림병원,지역응급의료기관,종합병원,032-509-5555,"인천광역시 부평구 부평대로 175 (청천동, 세림병원)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,-
가톨릭관동대학교국제성모병원,지역응급의료센터,종합병원,1600-8291,"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)",08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,-,-
인천세종병원,지역응급의료센터,종합병원,032-240-8000,"인천광역시 계양구 계양문화로 20, 메디플렉스 세종병원 (작전동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
인천광역시의료원,지역응급의료기관,종합병원,032-580-6000,"인천광역시 동구 방축로 217 (송림동, 인천광역시 의료원)",08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,-,-,-,http://www.icmc.or.kr
비에스종합병원,지역응급의료기관,종합병원,032290-0001,인천광역시 강화군 강화읍 충렬사로 31,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-
의료법인 루가의료재단 나은병원,지역응급의료센터,종합병원,032-584-0114,"인천광역시 서구 원적로 23 (가좌동, 원적로 27번길 11(가좌동))",09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,09:30~17:30,09:30~13:00,-,-,-
한림병원,지역응급의료센터,종합병원,032-540-9114,인천광역시 계양구 장제로 722 (작전동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.hallym.net/
가톨릭대학교인천성모병원,지역응급의료센터,상급종합병원,032-280-6364,인천광역시 부평구 동수로 56 (부평동),08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-,-
인천광역시의료원백령병원,지역응급의료기관,병원,032-836-1731,"인천광역시 옹진군 백령면 백령로 233, 인천광역시의료원 백령병원",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-,-
의료법인 나사렛의료재단 나사렛국제병원,지역응급의료센터,종합병원,032-899-9999,"인천광역시 연수구 먼우금로 98 (동춘동, 나사렛국제병원)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
인천기독병원,지역응급의료기관,종합병원,032-270-8000,인천광역시 중구 답동로30번길 10 (율목동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.goich.co.kr/
의료법인 성세의료재단 뉴 성민병원,지역응급의료기관,종합병원,032-726-1000,"인천광역시 서구 칠천왕로33번길 17 (석남동, 신석로 70(석남1동, 성민병원))",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
현대유비스병원,지역응급의료기관,종합병원,032-888-7575,인천광역시 미추홀구 독배로 503 (숭의동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~13:00,-,-,-
의료법인 길의료재단 길병원,권역응급의료센터,상급종합병원,032-460-3548,"인천광역시 남동구 남동대로774번길 21 (구월동, 가천대학교길병원)",08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-,-
인하대학교의과대학부속병원,권역응급의료센터,상급종합병원,032-890-2114,인천광역시 중구 인항로 27 (신흥동3가),08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,08:00~11:30,-,-,http://www.inha.com/mainpage/index.htm
선한병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,062-466-1000,광주광역시 서구 무진대로 975 (광천동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
해피뷰병원,응급의료기관 외의 의료기관(응급의료시설),병원,062-519-9000,광주광역시 북구 경열로 216 (유동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-,-
조선대학교병원,권역응급의료센터,상급종합병원,062-220-3373,광주광역시 동구 필문대로 365 (서석동),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,-,-,-,-
광주보훈병원,지역응급의료기관,종합병원,062-602-6021,광주광역시 광산구 첨단월봉로 99 (산월동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-,-
광주병원,지역응급의료기관,종합병원,062-260-7000,광주광역시 북구 면앙로139번길 51 (두암동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,09:00~12:30,-
서광병원,지역응급의료센터,종합병원,062-600-8000,광주광역시 서구 금화로59번길 6 (금호동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,-,http://www.suhgwang2010.com
KS병원,지역응급의료센터,종합병원,062-975-9000,광주광역시 광산구 왕버들로 220 (수완동),09:00~18:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~13:00,-,-,http://www.kshosp.com
광주현대병원,지역응급의료기관,종합병원,062-570-0336,광주광역시 북구 설죽로 291 (용봉동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
광주씨티병원,지역응급의료기관,종합병원,062-460-7000,광주광역시 남구 서문대로654번길 5 (진월동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-,http://www.ct119.co.kr/
운암한국병원,지역응급의료기관,종합병원,062-608-8000,광주광역시 북구 북문대로 191 (운암동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.uhkh.co.kr/
광주일곡병원,지역응급의료기관,종합병원,062-608-7000,광주광역시 북구 양일로 309 (일곡동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-,-
광주열린병원,응급의료기관 외의 의료기관(응급의료시설),병원,062-610-9000,광주광역시 광산구 송도로 271 (송정동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,-
송정사랑병원,응급의료기관 외의 의료기관(응급의료시설),병원,062-949-9000,"광주광역시 광산구 송도로 232 (송정동, 송정사랑병원)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,09:00~13:00,-
광주수완병원,지역응급의료기관,종합병원,062-958-1111,광주광역시 광산구 임방울대로 370 (수완동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~13:00,-,-,-
전남대학교병원,권역응급의료센터,상급종합병원,1899-0000,광주광역시 동구 제봉로 42 (학동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,-
하남성심병원,지역응급의료기관,종합병원,062-953-6000,광주광역시 광산구 용아로 259 (산정동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,http://www.sungshim.co.kr/
신가병원,지역응급의료기관,종합병원,062-610-8702,광주광역시 광산구 목련로 316 (신가동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,09:00~13:00,-
동아병원,지역응급의료기관,종합병원,062-650-2500,광주광역시 남구 대남대로 238 (백운동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,09:00~13:00,http://dongahospital.co.kr
미래로21병원,지역응급의료기관,종합병원,062-450-1000,광주광역시 서구 화운로 1 (화정동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,09:00~12:30,-
광주희망병원,지역응급의료기관,종합병원,062-608-6000,광주광역시 북구 하서로 429 (용두동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-,http://www.heemang75.com
상무병원,지역응급의료기관,종합병원,062-600-7000,광주광역시 서구 상무자유로 181-7 (치평동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,09:00~13:00,http://www.best75.co.kr
광주기독병원,지역응급의료센터,종합병원,062-650-5000,광주광역시 남구 양림로 37 (양림동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:30,-,-,http://www.kch.or.kr
광주한국병원,지역응급의료기관,종합병원,062-380-3000,광주광역시 서구 월드컵4강로 223 (쌍촌동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
첨단종합병원,지역응급의료센터,종합병원,062-601-8000,광주광역시 광산구 첨단중앙로170번길 59 (쌍암동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,http://www.cheomdanhosp.co.kr
충남대학교병원,권역응급의료센터,상급종합병원,1599-7123,"대전광역시 중구 문화로 282 (대사동, 충남대학교병원)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,-
학교법인가톨릭학원가톨릭대학교대전성모병원,지역응급의료센터,종합병원,042-220-9114,대전광역시 중구 대흥로 64 (대흥동),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,-,-
근로복지공단대전병원,지역응급의료기관,종합병원,042-670-5419,대전광역시 대덕구 계족로 637 (법동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-,-
학교법인건양교육재단건양대학교병원,권역응급의료센터,종합병원,042-600-9999,"대전광역시 서구 관저동로 158, 건양대학교병원 (관저동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
학교법인을지학원대전을지대학교병원,지역응급의료센터,종합병원,042-611-3000,대전광역시 서구 둔산서로 95 (둔산동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
대전보훈병원,지역응급의료기관,종합병원,042-939-0111,대전광역시 대덕구 대청로82번길 147 (신탄진동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,-,-,-,http://daejeon.bohun.or.kr
의료법인영훈의료재단대전선병원,지역응급의료센터,종합병원,042-220-8000,"대전광역시 중구 목중로 29 (목동, 선병원)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
대전한국병원,지역응급의료기관,종합병원,042-606-1000,대전광역시 동구 동서대로 1672 (성남동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
베스티안우송병원,응급의료기관 외의 의료기관(응급의료시설),병원,042-620-7575,대전광역시 동구 동대전로 39 (신안동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.bestianwoosong.com/
의료법인영훈의료재단유성선병원,지역응급의료기관,종합병원,042-609-1000,대전광역시 유성구 북유성대로 93 (지족동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
대청병원,지역응급의료기관,종합병원,1899-6075,"대전광역시 서구 계백로 1322 (정림동, 대청병원)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
의료법인혜명심의료재단울산병원,지역응급의료기관,종합병원,052-259-5000,울산광역시 남구 월평로171번길 13 (신정동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
학교법인울산공업학원울산대학교병원,권역응급의료센터,상급종합병원,052-250-7000,"울산광역시 동구 방어진순환도로 877, 울산대학교병원 (전하동)",09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,-,-,-,-
서울산보람병원,지역응급의료기관,종합병원,052-255-7114,울산광역시 울주군 삼남읍 중평로 53,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://eunyang.imc-boram.co.kr/
울산H병원,응급의료기관 외의 의료기관(응급의료시설),병원,522907100,울산광역시 중구 화합로 363 (반구동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
울산엘리야병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,052-290-2100,울산광역시 북구 호계로 285 (호계동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
굿모닝병원,응급의료기관 외의 의료기관(응급의료시설),병원,052-259-9000,울산광역시 남구 삼산로 110 (달동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
의료법인동강의료재단동강병원,지역응급의료센터,종합병원,052-241-1114,울산광역시 중구 태화로 239 (태화동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,-
의료법인동강의료재단동천동강병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,052-702-3114,"울산광역시 중구 외솔큰길 215 (남외동, 동천동강병원)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
의료법인에스엠씨의료재단울산세민병원,응급의료기관 외의 의료기관(응급의료시설),병원,052-292-2000,울산광역시 중구 학성로 184 (학성동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
의료법인은성의료재단좋은삼정병원,지역응급의료기관,종합병원,052-220-7500,울산광역시 남구 북부순환도로 51 (무거동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
의료법인정안의료재단중앙병원,지역응급의료기관,종합병원,052-226-1100,울산광역시 남구 문수로480번길 10 (신정동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
(의)내경의료재단울산제일병원,응급의료기관 외의 의료기관(응급의료시설),병원,052-220-3300,울산광역시 남구 남산로354번길 26 (신정동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
의료법인 송은의료재단 울산시티병원,지역응급의료기관,종합병원,052-280-9000,울산광역시 북구 산업로 1007 (연암동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
세종충남대학교병원,지역응급의료센터,종합병원,044-995-4101,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,-
엔케이(NK)세종병원,지역응급의료기관,종합병원,044-850-7700,"세종특별자치시 한누리대로 161, 세종시 NK리움힐 상가 1~8층 (나성동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
한림대학교성심병원,권역응급의료센터,상급종합병원,031-380-1500,경기도 안양시 동안구 관평로170번길 22 (평촌동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,http://hallym.hallym.or.kr/
의료법인플러스의료재단단원병원,지역응급의료기관,종합병원,031-8040-6600,"경기도 안산시 단원구 원포공원1로 20, 동의성단원병원 (초지동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
가톨릭대학교의정부성모병원,권역응급의료센터,종합병원,1661-7500,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,-,http://www.cmcujb.or.kr/
국군수도병원,지역응급의료기관,종합병원,031-725-6154,경기도 성남시 분당구 새마을로177번길 81 (율동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-,-
대진의료재단분당제생병원,지역응급의료센터,종합병원,031-779-0114,경기도 성남시 분당구 서현로180번길 20 (서현동),09:00~16:30,09:00~16:30,09:00~16:30,09:00~16:30,09:00~16:30,09:00~11:00,-,-,-
분당서울대학교병원,권역응급의료센터,상급종합병원,031-787-2114,"경기도 성남시 분당구 구미로173번길 82 (구미동, 분당서울대학교병원)",09:00~16:30,09:00~16:30,09:00~16:30,09:00~16:30,09:00~16:30,09:00~11:30,-,-,http://www.snubh.org/index.do
의료법인양진의료재단평택성모병원,지역응급의료센터,종합병원,1800-8800,경기도 평택시 평택로 284 (세교동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~13:00,-,-,-
차의과학대학교분당차병원,권역응급의료센터,종합병원,031-780-5000,경기도 성남시 분당구 야탑로 59 (야탑동),08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~11:30,-,-,http://bundang.chamc.co.kr
학교법인을지학원의정부을지대학교병원,지역응급의료기관,종합병원,031-951-3297,"경기도 의정부시 동일로 712, 을지대학교 의정부캠퍼스 및 부속병원 (금오동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
효산의료재단안양샘병원,지역응급의료센터,종합병원,031-467-9717,"경기도 안양시 만안구 삼덕로 9 (안양동, 안양샘병원)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
국립암센터,지역응급의료기관,종합병원,031-920-0114,경기도 고양시 일산동구 일산로 323 (마두동),08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~11:30,-,-,http://www.ncc.re.kr
의료법인원광의료재단원광종합병원,지역응급의료기관,종합병원,031-8077-7200,경기도 화성시 화산북로 21 (송산동),09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,-
인제대학교일산백병원,지역응급의료센터,종합병원,031-910-7114,경기도 고양시 일산서구 주화로 170 (대화동),08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,-,http://www.paik.ac.kr/ilsan/
(의)영문의료재단다보스병원,지역응급의료센터,종합병원,031-8021-2000,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
무척조은병원,응급의료기관 외의 의료기관(응급의료시설),병원,031-954-1400,경기도 파주시 문산읍 방촌로 1675-20,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,-,-,-
문산중앙병원,응급의료기관 외의 의료기관(응급의료시설),병원,031-950-9000,"경기도 파주시 문산읍 문향로39번길 53, 문산중앙병원",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,-
광명성애병원,지역응급의료센터,종합병원,02-2680-7114,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,http://www.ksungae.co.kr/Index.asp
현대병원,지역응급의료센터,종합병원,031-574-9118~9,경기도 남양주시 진접읍 봉현로 21,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:30,-,-,-
순천의료재단정병원,지역응급의료기관,종합병원,031-757-8900,"경기도 성남시 수정구 수정로 76, 지하3~10층 (수진동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
의료법인남촌의료재단시화병원,지역응급의료센터,종합병원,1811-7000,"경기도 시흥시 군자천로 381, 시화병원 (정왕동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
의료법인녹향의료재단신천연합병원,지역응급의료기관,종합병원,031-310-6300,"경기도 시흥시 복지로 57, 복지로 61, 2층 (대야동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
의료법인석경의료재단센트럴병원,지역응급의료기관,종합병원,031-8041-3000,"경기도 시흥시 공단1대로 237 (정왕동, 센트럴 병원)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
의료법인청파의료재단송탄중앙병원,응급의료기관 외의 의료기관(응급의료시설),병원,031-612-7000,경기도 평택시 오좌동길 17-16 (독곡동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
추병원,지역응급의료기관,종합병원,031-845-7777,경기도 의정부시 평화로 650 (의정부동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-,-
가톨릭대학교부천성모병원,지역응급의료센터,종합병원,032-1577-0675,"경기도 부천시 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,-,http://www.cmcbucheon.or.kr
부천우리병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,032-672-4100,"경기도 부천시 소사로 726, 지하4층~지상5층 (원종동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
의료법인대인의료재단다니엘종합병원,지역응급의료기관,종합병원,032-670-0001,"경기도 부천시 중동로 361, 다니엘종합병원 (약대동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
의료법인명지의료재단명지병원,권역응급의료센터,종합병원,031-810-5114,경기도 고양시 덕양구 화수로14번길 55 (화정동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,http://www.kdmc.or.kr
의료법인일심의료재단우리병원,지역응급의료기관,종합병원,031-542-0222,경기도 포천시 소흘읍 호국로 661,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,00:00~24:00,00:00~24:00,http://www.swoori.co.kr/
한양대학교구리병원,지역응급의료센터,종합병원,1644-9118,경기도 구리시 경춘로 153 (교문동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,http://guri.hyumc.com/index.asp?
성남시의료원,지역응급의료기관,종합병원,031-738-7000,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-,-
원광대학교산본병원,지역응급의료센터,종합병원,031-390-2300,경기도 군포시 산본로 321 (산본동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
효산의료재단지샘병원,지역응급의료센터,종합병원,031-389-3000,"경기도 군포시 군포로 591 (당동, (G샘병원)군포샘병원)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
동안산병원,응급의료기관 외의 의료기관(응급의료시설),병원,031-410-1116,경기도 안산시 상록구 월피로 88 (월피동),00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,http://www.dongansan.com/
의료법인갈렌의료재단박병원,지역응급의료기관,종합병원,031-666-2600,경기도 평택시 송탄로 33 (장당동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,08:30~15:00,-,-,-
(의)효심의료재단용인서울병원,지역응급의료기관,병원,031-337-0114,경기도 용인시 처인구 고림로 81 (고림동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,-
가톨릭대학교성빈센트병원,지역응급의료센터,종합병원,031-1577-8588,경기도 수원시 팔달구 중부대로 93 (지동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-,-
순천향대학교부속부천병원,권역응급의료센터,상급종합병원,032-621-5114,경기도 부천시 조마루로 170 (중동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,-,-,http://www.schmc.ac.kr/bucheon/kor/index.do
국민건강보험공단일산병원,지역응급의료센터,종합병원,1577-0013,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,09:00~13:00,-,-,http://www.nhimc.or.kr
의료법인성광의료재단일산차병원,응급의료기관 외의 의료기관(응급의료시설),종합병원,031-782-8300,"경기도 고양시 일산동구 중앙로 1205, 지하1층(일부),지하2층,지하4층(일부),1층(일부),3층(일부),4~5층,6층(일부),7~10층 (장항동)",08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,-,-
아주대학교병원,권역응급의료센터,상급종합병원,031-219-5114,경기도 수원시 영통구 월드컵로 164 (원천동),09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,-,-,-,http://hosp.ajoumc.or.kr/
안성성모병원,지역응급의료기관,종합병원,031-675-6007,경기도 안성시 시장길 58 (서인동),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~13:00,-,-,http://www.ansmc.co.kr
양평병원,지역응급의료기관,병원,031-770-5000,경기도 양평군 양평읍 중앙로 129,08:25~17:00,08:25~17:00,08:25~17:00,08:25~17:00,08:25~17:00,08:25~12:35,-,-,http://www.ypghosp.co.kr/
